user_id,posted,item_id,playtime_forever,genres
kevinator23,2015,8850,1504.0,['Action']
kevinator23,2014,233720,137.0,"['Action', 'Indie', 'Simulation']"
kevinator23,2015,730,23532.0,['Action']
kevinator23,2014,220240,182.0,"['Action', 'Adventure']"
76561198090715178,2014,4000,412.0,"['Indie', 'Simulation']"
76561198090715178,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
CatsWhale,2015,333950,98.0,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']"
CatsWhale,2014,107410,67.0,"['Action', 'Simulation', 'Strategy']"
CatsWhale,2014,206210,44.0,"['Action', 'Free to Play']"
76561198073784601,2015,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
mimimomoma,2015,730,23532.0,['Action']
de_Butl3r,2014,209870,623.0,"['Action', 'Free to Play']"
Bluezap1,2015,730,23532.0,['Action']
Bluezap1,2015,362890,338.0,"['Action', 'Adventure', 'Indie', 'Early Access']"
76561198074200011,2015,730,23532.0,['Action']
Lord_Exploit,2015,311560,790.0,"['Action', 'Adventure']"
Lord_Exploit,2015,322170,154.0,"['Action', 'Indie']"
AVATAR715,2014,248570,54.0,"['Action', 'Free to Play', 'Indie', 'Strategy']"
AVATAR715,2014,264140,277.0,"['Adventure', 'Indie', 'RPG', 'Simulation']"
AVATAR715,2014,4000,412.0,"['Indie', 'Simulation']"
AVATAR715,2015,266430,14.0,"['Casual', 'Free to Play', 'Indie', 'Early Access']"
AVATAR715,2015,316010,13.0,"['Free to Play', 'Strategy']"
AVATAR715,2014,249570,2127.0,"['Indie', 'Massively Multiplayer', 'Strategy']"
76561198078752187,2014,240,1853.0,['Action']
A-Very-Sly-Person,2015,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
76561197994493402,2015,264200,119.0,"['Action', 'Casual', 'Indie']"
97396295,2014,301520,38.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']"
97396295,2014,218230,51.0,"['Action', 'Free to Play', 'Massively Multiplayer']"
76561198126640317,2015,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
76561198126640317,2015,316010,13.0,"['Free to Play', 'Strategy']"
76561198126640317,2015,218230,51.0,"['Action', 'Free to Play', 'Massively Multiplayer']"
76561198126640317,2015,222880,3031.0,"['Action', 'Indie', 'Strategy']"
76561198126640317,2015,730,23532.0,['Action']
DemonicWolvz,2015,55230,4326.0,['Action']
DemonicWolvz,2015,232090,6494.0,['Action']
DemonicWolvz,2015,4000,412.0,"['Indie', 'Simulation']"
DemonicWolvz,2014,206420,1943.0,"['Action', 'Adventure']"
DemonicWolvz,2014,224260,327.0,"['Action', 'Free to Play', 'Indie']"
DemonicWolvz,2013,550,1474.0,['Action']
DieMadchenschanderin,2015,346110,1.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']"
getf0kinn0sc0pedm9,2015,730,23532.0,['Action']
76561198141443390,2015,730,23532.0,['Action']
whodafuqisthisguilao,2015,730,23532.0,['Action']
Magjiikal,2015,370480,582.0,"['Action', 'Indie']"
ohnospaghet,2015,266210,377.0,"['Indie', 'RPG']"
ohnospaghet,2015,264200,119.0,"['Action', 'Casual', 'Indie']"
2768820078,2015,287700,235.0,"['Action', 'Adventure']"
2768820078,2015,377160,2001.0,['RPG']
2768820078,2015,221380,182.0,['Strategy']
2768820078,2015,333950,98.0,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']"
2768820078,2015,222420,1481.0,['Action']
2768820078,2015,271590,9119.0,"['Action', 'Adventure']"
2768820078,2015,298110,575.0,"['Action', 'Adventure']"
2768820078,2015,222440,10101.0,['Action']
2d4nk4m3,2014,317470,276.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Massively Multiplayer']"
2d4nk4m3,2014,47410,19.0,"['Free to Play', 'Massively Multiplayer', 'Strategy']"
76561198095921854,2015,245620,151.0,"['RPG', 'Simulation', 'Strategy']"
EizanAratoFujimaki,2015,70,108.0,['Action']
TeCool,2014,274980,24.0,"['Indie', 'Simulation', 'Strategy']"
TeCool,2015,339280,5.0,"['Action', 'Free to Play', 'RPG', 'Strategy']"
2xDelorean,2013,212680,500.0,"['Indie', 'Simulation', 'Strategy']"
2xDelorean,2013,200210,99.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']"
washington_,2015,417860,15.0,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']"
76561198088944293,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
76561198092540221,2015,400,173.0,['Action']
76561198092540221,2015,620,887.0,"['Action', 'Adventure']"
76561198092540221,2015,238460,407.0,"['Action', 'Adventure', 'Casual', 'Indie']"
76561198092540221,2015,6060,37.0,['Action']
76561198051258119,2015,730,23532.0,['Action']
nubquake123,2014,265610,966.0,"['Adventure', 'RPG']"
Pyromanic,2013,31280,206.0,"['Casual', 'Sports']"
Pyromanic,2013,4000,412.0,"['Indie', 'Simulation']"
Pyromanic,2013,240,1853.0,['Action']
CobRazor,2015,252490,219.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
relesprit,2013,8930,10345.0,['Strategy']
WitchHunter4542,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
WitchHunter4542,2015,237310,2.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']"
WitchHunter4542,2014,224260,327.0,"['Action', 'Free to Play', 'Indie']"
pwrt,2015,230410,1381.0,"['Action', 'Free to Play']"
76561198031207016,2014,8930,10345.0,['Strategy']
76561198043458582,2015,105600,772.0,"['Action', 'Adventure', 'Indie', 'RPG']"
76561198043458582,2015,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
76561198043458582,2015,107410,67.0,"['Action', 'Simulation', 'Strategy']"
76561198043458582,2014,231430,105.0,['Strategy']
76561198047630659,2015,230410,1381.0,"['Action', 'Free to Play']"
1337lolroflmao,2015,271590,9119.0,"['Action', 'Adventure']"
1337lolroflmao,2013,7940,1185.0,['Action']
1337lolroflmao,2014,234190,200.0,"['Action', 'Indie', 'Simulation']"
1337lolroflmao,2013,10180,1886.0,['Action']
1337lolroflmao,2013,33900,8.0,"['Action', 'Simulation', 'Strategy']"
1337lolroflmao,2015,261030,567.0,['Adventure']
1337lolroflmao,2014,243470,1555.0,"['Action', 'Adventure']"
sithjjf,2015,302830,53.0,"['Action', 'Free to Play', 'Early Access']"
OzfurAtlas,2013,212680,500.0,"['Indie', 'Simulation', 'Strategy']"
76561198065593074,2015,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
76561198065593074,2015,304050,378.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']"
76561198065593074,2014,203750,802.0,['Action']
76561198044169764,2015,227940,7.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer']"
76561198044169764,2015,355180,87.0,"['Action', 'Free to Play']"
76561198044169764,2015,4000,412.0,"['Indie', 'Simulation']"
76561197961778802,2014,730,23532.0,['Action']
76561198087010391,2015,4000,412.0,"['Indie', 'Simulation']"
66666669999999,2015,302830,53.0,"['Action', 'Free to Play', 'Early Access']"
76561198061174192,2014,220200,120.0,"['Indie', 'Simulation']"
76561198061174192,2014,242760,118.0,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']"
ReMiXOfficalSteam,2015,352460,562.0,"['Action', 'Adventure', 'Indie', 'Strategy']"
Wilfire77,2015,322920,58.0,"['Action', 'Adventure', 'Simulation']"
76561198084390807,2014,252490,219.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
Mastic,2015,304050,378.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']"
Mastic,2014,550,1474.0,['Action']
Mastic,2014,206420,1943.0,"['Action', 'Adventure']"
76561198028286104,2013,10180,1886.0,['Action']
tarjla,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
tarjla,2015,265750,110.0,"['Action', 'Indie']"
tarjla,2014,252490,219.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']"
tarjla,2013,4000,412.0,"['Indie', 'Simulation']"
tarjla,2013,211820,67.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
tarjla,2013,105600,772.0,"['Action', 'Adventure', 'Indie', 'RPG']"
tarjla,2014,730,23532.0,['Action']
deathnz1,2014,276340,207.0,"['Casual', 'Simulation', 'Sports']"
76561198104393251,2015,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
redsncrimson,2014,274920,112.0,"['Animation &amp; Modeling', 'Video Production']"
redsncrimson,2013,211820,67.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
redsncrimson,2013,49520,1303.0,"['Action', 'RPG']"
redsncrimson,2013,223510,267.0,"['Action', 'Adventure', 'Indie']"
H1DD3NT3RR0R,2014,240,1853.0,['Action']
H1DD3NT3RR0R,2014,105600,772.0,"['Action', 'Adventure', 'Indie', 'RPG']"
H1DD3NT3RR0R,2013,204300,499.0,"['Action', 'Free to Play', 'Indie', 'Strategy']"
H1DD3NT3RR0R,2014,730,23532.0,['Action']
76561198071214618,2015,268750,983.0,"['Action', 'Adventure', 'Indie', 'RPG']"
76561198071175142,2015,271590,9119.0,"['Action', 'Adventure']"
t8s,2015,360870,2.0,"['Casual', 'Free to Play']"
t8s,2015,730,23532.0,['Action']
pikawuu2,2013,12900,115.0,['Indie']
Sammeh00,2014,301520,38.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']"
Michaelele,2014,6060,37.0,['Action']
Michaelele,2014,730,23532.0,['Action']
Michaelele,2014,107410,67.0,"['Action', 'Simulation', 'Strategy']"
Michaelele,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
76561198045754869,2015,335670,229.0,"['Adventure', 'Indie', 'RPG']"
76561198076098774,2015,215080,35.0,"['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']"
76561198048417105,2015,271590,9119.0,"['Action', 'Adventure']"
76561198048417105,2015,730,23532.0,['Action']
76561198090842891,2015,8190,3083.0,"['Action', 'Adventure']"
76561198055767971,2015,247730,44.0,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']"
76561198145436942,2014,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
jjas01,2013,243120,109.0,"['Action', 'Adventure', 'Indie']"
jjas01,2015,234140,134.0,"['Action', 'Adventure']"
jjas01,2014,204450,241.0,['Action']
jjas01,2014,225260,436.0,"['Action', 'Adventure', 'Strategy']"
jjas01,2013,50300,296.0,"['Action', 'Adventure']"
jjas01,2014,201810,599.0,['Action']
3xotic26,2014,500,513.0,['Action']
3xotic26,2014,49520,1303.0,"['Action', 'RPG']"
3xotic26,2013,550,1474.0,['Action']
iamthetrashlord,2015,206420,1943.0,"['Action', 'Adventure']"
iamthetrashlord,2014,213670,121.0,"['Action', 'Adventure', 'RPG']"
3dster,2015,550,1474.0,['Action']
76561198079990063,2014,231040,35.0,"['Action', 'Adventure', 'Casual', 'Indie']"
Forty-Nine,2014,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
76561198051017916,2014,250600,7.0,"['Casual', 'Free to Play', 'Indie']"
L4M1NAS,2015,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
76561198084542731,2015,206420,1943.0,"['Action', 'Adventure']"
76561198084542731,2014,47790,230.0,['Action']
mrpfresh,2015,346110,1.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']"
GamerFag,2011,70,108.0,['Action']
GamerFag,2011,420,323.0,['Action']
GamerFag,2011,380,168.0,['Action']
GamerFag,2011,220,696.0,['Action']
GamerFag,2010,1250,10006.0,['Action']
EHS-R3AP3R,2015,339230,889.0,"['Action', 'Adventure']"
EHS-R3AP3R,2015,349700,1.0,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer']"
EHS-R3AP3R,2013,209160,423.0,['Action']
chidori_647,2013,219990,2340.0,"['Action', 'Adventure', 'Indie', 'RPG']"
chidori_647,2014,213670,121.0,"['Action', 'Adventure', 'RPG']"
chidori_647,2013,21100,267.0,['Action']
chidori_647,2013,8190,3083.0,"['Action', 'Adventure']"
chidori_647,2013,215470,1023.0,"['Action', 'Indie']"
76561198092227136,2014,730,23532.0,['Action']
76561198092227136,2014,1250,10006.0,['Action']
hellcat59,2014,4000,412.0,"['Indie', 'Simulation']"
tbimperator,2012,35450,14194.0,"['Action', 'Massively Multiplayer', 'Simulation']"
Allahu_Akbar666,2015,230410,1381.0,"['Action', 'Free to Play']"
Allahu_Akbar666,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
ulramite,2014,290020,104.0,"['Indie', 'Simulation']"
ulramite,2014,248860,128.0,"['Indie', 'RPG', 'Strategy']"
76561198054040292,2015,298260,34.0,"['Adventure', 'Free to Play', 'Indie']"
76561198078799606,2015,370240,2.0,['Sports']
76561198078799606,2015,730,23532.0,['Action']
76561198078799606,2014,233450,24.0,"['Indie', 'Simulation', 'Strategy']"
I_DID_911_JUST_SAYING,2013,221260,142.0,"['Adventure', 'Casual', 'Indie']"
diabeticfuck,2015,287700,235.0,"['Action', 'Adventure']"
76561198054465623,2015,302830,53.0,"['Action', 'Free to Play', 'Early Access']"
76561198054465623,2014,24240,136.0,['Action']
76561198054465623,2015,39800,128.0,"['Action', 'Indie']"
76561198054465623,2014,250600,7.0,"['Casual', 'Free to Play', 'Indie']"
76561198054465623,2015,105600,772.0,"['Action', 'Adventure', 'Indie', 'RPG']"
76561198054465623,2014,113020,116.0,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']"
FrankoWalker,2015,310370,11.0,"['Free to Play', 'Indie']"
FrankoWalker,2014,260410,8.0,"['Casual', 'Free to Play', 'Indie']"
LightfootSword7,2015,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
SALTTHEW0UND,2015,248820,272.0,"['Action', 'Indie', 'RPG']"
SALTTHEW0UND,2014,730,23532.0,['Action']
SALTTHEW0UND,2014,550,1474.0,['Action']
SALTTHEW0UND,2014,204030,3860.0,"['Action', 'Adventure', 'RPG']"
express157,2014,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
76561198074644990,2015,242760,118.0,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']"
76561198074644990,2015,207230,94.0,"['Action', 'Free to Play', 'Indie']"
76561198074644990,2013,9180,218.0,['Action']
76561198064304806,2015,730,23532.0,['Action']
TomoeMamiewe,2014,10150,359.0,"['Action', 'Adventure']"
76561198057086148,2015,214950,869.0,['Strategy']
Acidius99,2014,220240,182.0,"['Action', 'Adventure']"
acorn13,2015,271590,9119.0,"['Action', 'Adventure']"
AddzyTheBaddzy,2015,291550,7.0,"['Action', 'Free to Play', 'Indie']"
76561198167207237,2015,391540,395.0,"['Indie', 'RPG']"
76561198167207237,2015,265930,95.0,"['Casual', 'Indie', 'Simulation']"
76561198167207237,2015,620,887.0,"['Action', 'Adventure']"
cancerkek,2015,730,23532.0,['Action']
76561198073508075,2014,10090,1089.0,['Action']
76561198073508075,2014,218680,195.0,"['Adventure', 'Casual', 'Strategy']"
advenger95,2015,22370,949.0,['RPG']
advenger95,2015,307690,394.0,"['Action', 'Adventure', 'Racing']"
EndAtHallow,2015,1250,10006.0,['Action']
76561198015968275,2015,248610,232.0,"['Action', 'Indie', 'Simulation', 'Strategy']"
Agiegamma,2014,208090,191.0,"['Action', 'Free to Play', 'Indie']"
76561198082614708,2014,250340,1088.0,"['Action', 'Indie', 'Simulation']"
Agronoth,2015,221640,21.0,"['Action', 'Indie']"
Agronoth,2015,104900,120.0,"['Action', 'Adventure', 'Indie', 'RPG']"
Agronoth,2015,105600,772.0,"['Action', 'Adventure', 'Indie', 'RPG']"
Agronoth,2015,9450,220.0,['Strategy']
UnholyFallenAngel,2014,262410,95.0,"['Free to Play', 'Indie', 'Simulation']"
UnholyFallenAngel,2015,222940,819.0,['Action']
UnholyFallenAngel,2014,221040,4119.0,"['Action', 'Adventure']"
76561198068565589,2014,221100,1005.0,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']"
76561198068565589,2015,286570,9075.0,"['Racing', 'Sports']"
SlutOnTheSpit,2014,4000,412.0,"['Indie', 'Simulation']"
WestyGaming,2014,223710,997.0,"['Action', 'Adventure', 'Indie']"
NaruseAiria,2014,317360,6.0,"['Action', 'Free to Play', 'Indie']"
NaruseAiria,2014,108600,65.0,"['Indie', 'RPG', 'Simulation', 'Early Access']"
NaruseAiria,2013,208520,535.0,"['Simulation', 'Strategy']"
76561198067713802,2015,239660,1.0,"['Action', 'Free to Play']"
76561198067713802,2015,304930,54.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']"
Alex680,2014,4000,412.0,"['Indie', 'Simulation']"
alansiulun,2015,265930,95.0,"['Casual', 'Indie', 'Simulation']"
Albolah,2015,283920,2.0,"['Adventure', 'Casual']"
Albolah,2015,294650,67.0,"['Adventure', 'Casual']"
76561198003056556,2014,233720,137.0,"['Action', 'Indie', 'Simulation']"
maxpaynepillkiller,2015,12120,94.0,['Action']
maxpaynepillkiller,2015,55230,4326.0,['Action']
AlexNoClutch,2015,227860,4.0,"['Indie', 'Strategy']"
76561198095481910,2014,208090,191.0,"['Action', 'Free to Play', 'Indie']"
AlkalineDeath,2015,228280,905.0,"['RPG', 'Strategy']"
AlkalineDeath,2014,240760,27.0,"['Adventure', 'Indie', 'RPG', 'Strategy']"
76561198075935236,2015,250900,329.0,['Action']
mintifreshbadger,2015,35450,14194.0,"['Action', 'Massively Multiplayer', 'Simulation']"
AlpacaRevolution,2014,212680,500.0,"['Indie', 'Simulation', 'Strategy']"
AlpacaRevolution,2015,346110,1.0,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']"
76561198071952798,2013,205100,1429.0,"['Action', 'Adventure']"
smegmyfoodle,2015,346010,464.0,"['Indie', 'Simulation', 'Early Access']"
smegmyfoodle,2015,239250,782.0,"['Action', 'Adventure']"
76561198057869849,2015,313120,380.0,"['Adventure', 'Indie', 'Early Access']"
76561198058836921,2015,211820,67.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
lol_ursuchanoob,2014,220240,182.0,"['Action', 'Adventure']"
lol_ursuchanoob,2014,17300,253.0,['Action']
AMV72,2013,206440,61.0,"['Adventure', 'Indie', 'RPG']"
AMV72,2012,209100,21.0,['Action']
AMV72,2013,209000,1412.0,"['Action', 'Adventure']"
AMV72,2013,218060,185.0,"['Action', 'Indie']"
